Year,China (Coal),Abu Dhabi National Oil Co,Adaro Energy PT,Alliance Resource Partners LP,Alpha Natural Resources Inc,Anadarko Petroleum Corp,Anglo American,AP Moller (Maersk),Apache Corp,Arch Coal Inc,Bahrain Petroleum Co (BAPCO),Banpu Public Co Ltd,Berau Coal Energy Tbk PT,BHP Billiton Ltd,BP PLC,Bukit Asam (Persero) Tbk PT,Bumi Resources,Canadian Natural Resources Ltd,Chesapeake Energy Corp,Chevron Corp,China National Offshore Oil Corp Ltd (CNOOC),China National Petroleum Corp (CNPC),China Petrochemical Corp (Sinopec),Cloud Peak Energy Inc,Coal India,ConocoPhillips,Consol Energy Inc,Czech Republic Coal,Devon Energy Corp,Drummond Co,Ecopetrol SA,Egyptian General Petroleum Corp,Encana Corp,Eni SPA,EOG Resources Inc,Exxaro Resources Ltd,ExxonMobil Corp,Gazprom OAO,Glencore PLC,Hess Corp,Husky Energy Inc,Indika Energy Tbk PT,Inpex Corp,Iraq National Oil Co,Kazakhstan Coal,KazMunayGas,Kideco Jaya Agung PT,Kiewit Mining Group,Kuwait Petroleum Corp,Lukoil OAO,Marathon Oil Corp,Murphy Oil Corp,Murray Coal,NACCO Industries Inc,National Iranian Oil Co,National Oil Corporation of Libya,Natural Resource Partners LP,Nigerian National Petroleum Corp,Noble Energy Inc,North Korea Coal,Novatek OAO,Occidental Petroleum Corp,Oil & Natural Gas Corp Ltd,OMV AG,Peabody Energy Corp,Petoro AS,Petroleo Brasileiro SA (Petrobras),Petroleos de Venezuela SA (PDVSA),Petroleos del Ecuador,Petroleos Mexicanos (Pemex),Petroleum Development Oman LLC,Petroliam Nasional Berhad (Petronas),Poland Coal,PT Pertamina,Qatar Petroleum Corp,Repsol SA,Rio Tinto,Rosneft OAO,Royal Dutch Shell PLC,Russia (Coal),RWE AG,Sasol Ltd,Saudi Arabian Oil Company (Aramco),Singareni Collieries Company,Sonangol EP,Sonatrach SPA,Southwestern Energy Co,Statoil ASA,Suncor Energy Inc,Surgutneftegas OAO,Syrian Petroleum Co,Tatneft OAO,Teck Resources Ltd,Total SA,TurkmenGaz,Turkmennebit,Ukraine Coal,Vistra Energy,Westmoreland Coal Co,YPF SA
1988,159.6,18.83,0,1.91,2.66,5.81,3.72,1.29,0.59,2.99,3.49,0.05,0,15.15,47.99,0,0,0,0,49.88,0.37,6.65,0,0,16.72,19.73,17.44,0,0.03,0,2.48,7.21,1.12,12.27,1.85,0.52,67.81,0,0,3.39,1.54,0,3.09,20.68,0,0,0,2.97,17.6,0,14.05,1.85,0.17,3.55,36.32,12.26,0,12.14,0.77,5.86,0,12.43,5.4,0,4.19,0,6.65,26.95,3.47,61.87,5.65,15.59,48.42,26.95,5.07,1.26,4.61,0,38.2,0,18.73,6.39,83.51,3.29,2.94,32.83,0.21,2.3,2.71,18.09,2.02,5.59,0.07,31.71,0,0,0,4.8,0.19,18.23
1989,171.7,24.53,0,2.02,2.64,5.84,3.75,1.43,0.92,3.42,3.63,0.06,0,14.3,48.43,0,0,0.07,0.02,45.11,0.36,39.91,0,0,17.79,20.21,16.99,0,0.04,0,2.62,7.61,1.11,13.21,2.26,0.54,68.66,206.44,0,3.62,2.09,0,3.28,22.51,0,0,0,2.62,23.03,0,14.5,1.97,0.37,3.55,46.86,12.29,0,14.14,0.92,4.53,0,11.2,5.89,0,4.47,0,7.09,28.55,3.21,62.16,5.81,15,45.32,28.26,5.38,1.41,5.03,0,39.27,0,18.92,6.66,85.49,3.39,2.96,46.46,0.27,2.47,2.92,18.09,2.71,5.59,0.07,33.74,0,0,0,4.93,0.22,19.89
1990,175.8,26.83,0,2.13,2.92,6.29,3.67,1.39,1.02,3.62,3.84,0.08,0,16.83,42.11,0,0,0.34,0.04,45.37,0.67,40.32,0,0,18.14,20.28,17.34,0,2.02,0,2.72,7.73,1.2,14.3,2.64,0.55,67.32,211.37,0,4.26,1.83,0,3.46,15.76,0,0,0,2.64,15.24,0,13.39,2.02,0.58,3.43,50.45,14.25,0,14.78,1.08,6.03,0,11.33,6.04,0,4.82,0,7.46,32.24,3.29,64.94,6.68,16.73,39.12,30.42,6.31,1.5,6.12,4.17,42.46,0,18.73,6.69,105.77,3.59,3.08,35.73,0.31,2.45,2.74,18.09,3.74,5.59,0.07,30.89,0,0,0,5.05,0.23,19.68
1991,176.61,31.95,0,2.24,2.64,6.61,3.51,1.61,1.35,3.53,2.97,0.1,0,17.71,40.91,0,0,0.61,0.07,45.33,0.93,41.03,0,0,20.85,20.49,17.53,0,2.08,0,2.67,8.05,1.22,14.54,3.02,0.57,69.5,210.2,0,5,1.8,0,3.65,2.51,0,0,0,2.77,1.82,17.93,12.8,1.7,0.79,3.58,51.92,15.33,0,15.06,1.26,5.66,0,10.56,5.9,0,5.39,0,7.44,35.1,3.41,67.54,6.66,16.97,38.09,33.66,7.08,1.49,6.36,3.87,45.73,0,19.28,6.78,130.27,3.92,3.24,36.3,0.33,3.03,2.65,17.28,4.67,5.59,0.12,31.82,0,0,0,4.75,0.22,13.63
1992,181.54,30.87,0.02,2.35,2.81,6.55,3.37,1.74,1.48,3.51,3.91,0.12,0,14.08,39.72,0,0,0.88,0.09,43.73,1.19,41.55,0,0,21.91,20.84,17.88,0,2.44,0,2.72,8.14,1.46,14.8,3.46,0.73,68.17,201.69,0,5.57,1.98,0,3.83,3.97,23.02,2.79,0,3.35,13.62,17.93,11.01,1.9,1,4.04,55.67,15,0,16.23,1.45,5.31,0,10.39,5.75,0,5.96,0,7.57,34.7,3.66,65.24,7.14,19.5,36.04,31.64,8.33,2.01,4.85,3.52,44.01,57.55,19.83,7.12,134.34,4.06,3.4,39.45,0.42,3.33,2.43,16.01,4.62,5.59,0.24,30.98,32.66,0,22.44,4.95,0.25,11.48
1993,187.54,30.49,0.03,2.47,3.44,6.97,3.46,1.79,1.86,3.68,4.14,0.14,0,18.36,39.9,0,0,1.16,0.11,43.07,1.6,42.99,0,0,21.81,20.81,14.48,16.14,3.18,0,2.81,8.63,1.71,15.86,4.32,0.88,68.18,194.54,0,5.34,2.05,0.01,4.02,4.57,20.35,2.45,0.22,2.51,24.11,17.22,10.3,2.09,1.2,4.37,59.04,14.25,0,16.35,1.51,4.93,0,8.61,5.51,0,6.53,0,7.79,36.49,3.73,65.37,7.76,19.28,36.04,31.89,9.05,2.1,5.47,5.55,44.45,52.08,18.37,7.34,130.74,4.18,3.29,38.39,0.58,3.52,2.5,15.43,5.21,5.59,0.24,30.17,37,0,19.23,4.55,0.25,11.54
1994,200.26,32.83,0.06,2.58,3.96,7.84,3.39,1.84,2.31,3.6,4.17,0.16,0,15.02,40.41,0,0,1.43,0.13,47.92,2.23,43.84,0,0,22.32,21.21,22.4,14.66,3.43,0,2.75,8.87,1.86,17.36,4.61,1.03,70.76,191.3,0,5.76,2.15,0.02,4.2,5.11,19.03,2.17,0.4,2.51,25.73,15.95,11.21,2.19,1.41,4.49,58.08,14.4,0,16.07,1.77,4.62,0,9.26,6.3,0,7.1,0,8.09,38.86,3.84,74.73,8.19,19.17,36.36,35.98,9.03,2.68,7.74,5.12,45.42,46.32,18.19,7.4,133.4,4.37,3.45,38.23,0.62,3.93,3.3,14.38,5.28,5.59,0.25,34.69,20.33,0,15.73,4.21,0.26,12.36
1995,210.47,31.79,0.13,2.67,4.49,7.95,3.15,1.84,2.84,4.1,5.07,0.18,0,15.67,39.77,0,0,1.84,0.45,46,2.55,44.5,0,0,23.32,21.6,21.96,14.31,4.39,0.21,3.61,9.14,2.04,18.11,4.67,1.18,66.84,189.97,0,5.97,2.34,0.03,4.38,5.2,15.37,2.22,0.58,2.39,26.49,17.65,13.03,2.24,1.62,4.41,60.53,14.47,0,16.32,1.95,4.31,0,10.51,7.12,0,7.59,0,8.38,41.07,3.71,73.7,8.45,22.95,36.33,36.11,9.29,3.08,7.98,5.08,46.11,44.7,18.19,7.87,133.89,4.65,4.13,39.29,0.57,3.87,3.56,14.04,5.26,5.65,0.25,35.48,18.44,0,13.88,4.29,0.14,13.18
1996,222.32,32.21,0.2,2.73,4.99,8.61,3.29,2.17,2.84,4.17,5.19,0.18,0,17.39,41.21,0,0,3.28,0.9,47.82,3.15,49.19,0,0,25.2,22.92,22.25,14.73,4.29,0.66,2.65,9.45,2.34,18.15,5.21,1.33,67.36,181.12,0,5.16,2.39,0.03,4.57,5.32,14.18,2.27,0.76,2.51,26.47,16.02,12.76,2.03,1.83,4.55,64.18,14.67,0,16.24,3.24,3.82,0,10.99,7.06,0,7.86,0,9.47,43.83,3.6,79.6,8.68,31.42,36.54,38.71,9.94,3,8.18,4.96,50.28,43.71,18.55,8.07,135.66,4.57,4.51,42.98,0.58,3.99,4.92,14.04,5.85,5.72,0.26,32.53,21.13,0,10.36,4.65,0.1,13.95
1997,215.86,34.04,0.22,3.31,5.4,3.54,3.57,2.63,3.24,4.25,4.48,0.17,0,19.1,41.03,0,0,4.73,1.12,49.08,3.88,48.99,0,0,26.02,23.93,23.13,14.17,4.53,0.86,4.04,9.1,2.38,18.82,5.58,1.34,67.55,173.84,0,4.58,2.44,0.04,4.75,9.26,13.21,2.75,0.94,2.56,27.64,16.43,12.65,2.33,2.03,4.93,91.39,15.2,0,17.16,3.81,3.75,0,11.03,7.2,1.15,8.36,0,10.18,47.9,3.44,83,9.01,35.72,36.43,35.7,11.9,3.57,9.9,4.8,49.19,41.72,17.83,8.77,134.93,4.91,4.54,44.64,0.57,4.4,5.01,14.27,5.89,5.78,0.26,31.85,14.56,0,10.65,4.65,0.15,14.62
